Anything										ili	synset	sem_class	hypernym, hypernym tree	hypernym, hypernym tree	hypernym, hypernym tree	Бележки - вкл. при две, кое е по-вероятно 		Цвети	Валя	Различно решение, ако има	ili на съотнесеното
			Uncertainty							eng-30-04756887-n; eng-30-05698247-n	n: uncertainty:1; uncertainness:1; precariousness:1; n: doubt:4; uncertainty:2; incertitude:1; dubiety:1; doubtfulness:2; dubiousness:2	noun.attribute, noun.cognition	n: quality:3 < n: attribute:1 < n: abstraction:1; abstract entity:1	n: cognitive state:1; state of mind:1 < n: psychological state:1; psychological condition:1; mental state:1; mental condition:1 < n: condition:11; status:1 < hypernym: en - n: state:1 < n: attribute:1 < n: abstraction:1; abstract entity:1		n: uncertainty:1; uncertainness:1; precariousness:1		n: uncertainty:1; uncertainness:1; precariousness:1; n: doubt:4; uncertainty:2; incertitude:1; dubiety:1; doubtfulness:2; dubiousness:2	n: uncertainty:1; uncertainness:1; precariousness:1		eng-30-04756887-n; eng-30-05698247-n
		Energy								eng-30-11452079-n	n: energy:4	noun.phenomenon	n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1		това не е абстрактно!	 възможно! n: energy:3; vigor:3; vigour:3; zip:4 {noun.attribute} < n: force:13; forcefulness:1; strength:3 {noun.attribute} < n: intensity:3; intensiveness:1 {noun.attribute} < n: degree:1; grade:7; level:15 {noun.attribute} < n: property:2 {noun.attribute} < n: attribute:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: energy:4	n: energy:3; vigor:3; vigour:3; zip:4		eng-30-11452079-n; eng-30-05035961-n
			Wavelength							eng-30-05086269-n; eng-30-07345593-n	n: wavelength:1; n: wave:9; undulation:1	noun.attribute; noun.event	n: distance:3 < n: spacing:1; spatial arrangement:1 < n: placement:3; arrangement:2 < n: position:8; spatial relation:1 < n: relation:1 < n: abstraction:1; abstract entity:1	n: movement:8; motion:6 < n: happening:1; occurrence:1; occurrent:2; natural event:1 < n: event:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1	n: wavelength:1; n: wave:9	n: wavelength:2 {noun.cognition} < n: orientation:5 {noun.cognition} < n: attitude:3; mental attitude:1  {noun.cognition} < n: cognition:1; knowledge:1; noesis:1 {noun.cognition} <  n: psychological feature:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: wavelength:1; n: wave:9; undulation:1	n: wavelength:2	n: wavelength:1; n: wave:9; undulation:1	eng-30-05086269-n; eng-30-07345593-n; 
				Light						eng-30-11473954-n	n: light:44; visible light:1; visible radiation:1	noun.phenomenon	n: actinic radiation:1; actinic ray:1 < n: electromagnetic radiation:1; electromagnetic wave:1; nonparticulate radiation:1 < n: radiation:5 < n: energy:5; free energy:1 < n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1			n: light:35; lightness:2 {noun.attribute} < n: visual property:1 {noun.attribute} < n: property:2 {noun.attribute} < n: attribute:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: light:44; visible light:1; visible radiation:1	n: light:35; lightness:2		eng-30-11473954-n; eng-30-04951373-n
				Signal						eng-30-11447319-n; eng-30-06791372-n	n: signal:6; n: signal:4; signaling:1; sign:12	noun.phenomenon; noun.communication	n: electricity:3; electrical energy:1 < n: energy:5; free energy:1 < n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1	n: communication:1 < n: abstraction:1; abstract entity:1	n: signal:6; n: signal:4	n: signal:5 {noun.motive} < n: incitement:4; incitation:2; provocation:3 < n: psychic energy:1; mental energy:1 < n: motivation:1; motive:1; need:1 < n: psychological feature:1 {noun.attribute} < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: signal:6; n: signal:4; signaling:1; sign:12	n: signal:5	n: signal:6; n: signal:4; signaling:1; sign:12	eng-30-11447319-n; eng-30-06791372-n
				Sound						eng-30-11480930-n	n: sound:24; n: audio:4; sound:19	noun.phenomenon; noun.communication	n: mechanical phenomenon:1 < n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1	n: auditory communication:1 < n: communication:1 < n: abstraction:1; abstract entity:1		n: sound:17 {noun.attribute} < n: sound property:1 < n: property:2 < n: attribute:1 <  n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: sound:24; n: audio:4; sound:19	n: sound:17		eng-30-11480930-n; eng-30-04981139-n
			Force							eng-30-11458624-n	n: force:19	noun.phenomenon	n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1			 n: force:13; forcefulness:1; strength:3 {noun.attribute} < n: intensity:3; intensiveness:1 < n: degree:1; grade:7; level:15 < n: property:2 < n: attribute:1 <  n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: force:19	n: force:13; forcefulness:1; strength:3		eng-30-11458624-n; eng-30-05035353-n
			Heat							eng-30-11466043-n	n: heat:10; heat energy:1	noun.phenomenon	n: energy:5; free energy:1 < n: physical phenomenon:1 < n: natural phenomenon:1 < n: phenomenon:1 < n: process:1; physical process:1 < n: physical entity:1			n: hotness:2; heat:7; high temperature:1 {noun.attribute} < n: temperature:1 < n: fundamental quantity:1; fundamental measure:1 < n: measure:1; quantity:1; amount:1 < n: abstraction:1; abstract entity:1 {noun.Tops} < n: entity:1 {noun.Tops}		n: heat:10; heat energy:1	n: hotness:2; heat:7; high temperature:1		eng-30-11466043-n; eng-30-05016171-n
		Physical Object								eng-30-00001930-n; eng-30-00002684-n; eng-30-00003553-n	n: physical entity:1; n: object:1; physical object:1; n: whole:1; unit:1	noun.Tops	n: entity:1	n: physical entity:1 < n: entity:1	n: object:1; physical object:1 < n: physical entity:1 < n: entity:1	n: physical entity:1		n: physical entity:1; n: object:1; physical object:1; n: whole:1; unit:1	n: physical entity:1; n: object:1; physical object:1; n: whole:1; unit:1		eng-30-00001930-n; eng-30-00002684-n; eng-30-00003553-n
			Animate							eng-30-00004258-n; eng-30-00004475-n	n: living thing:1; animate thing:1;  n: organism:1; being:1	noun.Tops	n: whole:1; unit:1 < n: object:1; physical object:1 < n: physical entity:1	n: living thing:1; animate thing:1;  n: organism:1; being:1		n: organism:1; being:1; animate thing:1 има хипоним cell		n: living thing:1; animate thing:1;  n: organism:1; being:1	n: living thing:1; animate thing:1		eng-30-00004258-n; eng-30-00004475-n
				Animal						eng-30-00015388-n; eng-30-01861778-n	 n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1; n: mammal:1; mammalian:1	noun.animal	n: organism:1; being:1 < n: living thing:1; animate thing:1;  n: organism:1; being:1	n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1		n: animal:1; animate being:1; beast:1; brute:1; creature:1		 n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1; n: mammal:1; mammalian:1	 n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1; n: mammal:1; mammalian:1		eng-30-00015388-n; eng-30-01861778-n
					Cat					eng-30-02120997-n	n: feline:1; felid:1	noun.animal	n: carnivore:2 < n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 < n: mammal:1; mammalian:1 < n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: feline:1; felid:1	n: feline:1; felid:1		eng-30-02120997-n
					Cow					eng-30-02399000-n	n: ruminant:1	noun.animal	n: even-toed ungulate:1; artiodactyl:1; artiodactyl mammal:1 < n: ungulate:1; hoofed mammal:1 < n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 < < n: mammal:1; mammalian:1 < n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: ruminant:1	n: ruminant:1		eng-30-02399000-n
					Dog					eng-30-02083346-n	n: canine:1; canid:1	noun.animal	n: carnivore:2 < n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 < n: mammal:1; mammalian:1 < n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: canine:1; canid:1	n: canine:1; canid:1		eng-30-02083346-n
					Fetus					eng-30-01459791-n	n: fetus:1; foetus:1	noun.animal	n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: fetus:1; foetus:1	n: fetus:1; foetus:1		eng-30-01459791-n
					Horse					eng-30-02374149-n	n: equine:1; equid:1	noun.animal	n: odd-toed ungulate:1; perissodactyl:1; perissodactyl mammal:1 < n: ungulate:1; hoofed mammal:1 < n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 < < n: mammal:1; mammalian:1 < n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: equine:1; equid:1	n: equine:1; equid:1		eng-30-02374149-n
					Primate					eng-30-02469914-n	n: primate:1	noun.animal	n: placental:2; placental mammal:1; eutherian:1; eutherian mammal:1 < < n: mammal:1; mammalian:1 < n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: primate:1	n: primate:1		eng-30-02469914-n
				Human						eng-30-00007846-n	 n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1	noun.person	n: organism:1; being:1 < n: living thing:1; animate thing:1					 n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1	 n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1		eng-30-00007846-n
					Deity					eng-30-09505418-n	n: deity:1; divinity:4; god:2; immortal:2	noun.person	n: spiritual being:1; supernatural being:1 <  n: belief:2 < n: content:5; cognitive content:1; mental object:1 < n: cognition:1; knowledge:1; noesis:1 < n: psychological feature:1 < n: abstraction:1; abstract entity:1		или n: god:3 {noun.person} < n: superior:10; higher-up:1; superordinate:4 < n: leader:2 < n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1 < n: organism:1; being:1 < n: living thing:1; animate thing:1			n: deity:1; divinity:4; god:2; immortal:2	n: deity:1; divinity:4; god:2; immortal:2; n: god:3	n: deity:1; divinity:4; god:2; immortal:2; n: god:3	eng-30-09505418-n; eng-30-10133307-n
					Fetus					eng-30-01459791-n	n: fetus:1; foetus:1	noun.animal	n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					n: fetus:1; foetus:1	n: fetus:1; foetus:1		eng-30-01459791-n
					Ghost					eng-30-09545976-n	n: ghost:6	noun.person	n: soul:5; psyche:2 < n: spirit:7 < n: vital principle:1; life principle:1 < n: causal agent:1; cause:1; causal agency:1 < n: physical entity:1					n: ghost:6	n: ghost:6		eng-30-09545976-n
					Self					eng-30-09604981-n	n: self:3	noun.person	n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1 < n: organism:1; being:1 + n: causal agent:1; cause:1; causal agency:1 < ... < n: person:1; individual:1; someone:1; somebody:1; mortal:1; soul:1 < n: organism:1; being:1 + n: causal agent:1; cause:1; causal agency:1 < ... < n: physical entity:1					n: self:3	n: self:3		eng-30-09604981-n
				Bird						eng-30-01503061-n	 n: bird:2	noun.animal	n: vertebrate:1; craniate:1 < n: chordate:1 < n: animal:1; animate being:1; beast:1; brute:1; creature:1; fauna:1					 n: bird:2	 n: bird:2		eng-30-01503061-n
